adduser	3.137ubuntu1
libglobus-gsi-proxy-ssl1:amd64	6.5-3
libglobus-gsi-sysconfig1t64:amd64	9.6-2
libglobus-gss-assist3t64:amd64	12.7-3build1
libglobus-gssapi-gsi4t64:amd64	14.20-3
libglobus-openssl-module0t64:amd64	5.2-3
libglu1-mesa:amd64	9.0.2-1.1build1
libglu1-mesa-dev:amd64	9.0.2-1.1build1
libglut-dev:amd64	3.4.0-1build1
libglut3.12:amd64	3.4.0-1build1
libglvnd-core-dev:amd64	1.7.0-1build1
libglvnd-dev:amd64	1.7.0-1build1
libglvnd0:amd64	1.7.0-1build1
libglx-dev:amd64	1.7.0-1build1
libglx-mesa0:amd64	24.0.9-0ubuntu0.2
libglx0:amd64	1.7.0-1build1
libgmp10:amd64	2:6.3.0+dfsg-2ubuntu6
libgnutls30t64:amd64	3.8.3-1.1ubuntu3.2
libgomp1:amd64	14.2.0-4ubuntu2~24.04
libgpg-error0:amd64	1.47-3build2
libgprofng0:amd64	2.42-4ubuntu2.3
libgraphite2-3:amd64	1.3.14-2build1
libgraphviz-dev:amd64	2.42.2-9ubuntu0.1
libgsl-dev	2.7.1+dfsg-6ubuntu2
libgsl27:amd64	2.7.1+dfsg-6ubuntu2
libgslcblas0:amd64	2.7.1+dfsg-6ubuntu2
libgsoap-2.8.132t64:amd64	2.8.132-2.1build2
libgssapi-krb5-2:amd64	1.20.1-6ubuntu2.2
libgtk2.0-0t64:amd64	2.24.33-4ubuntu1.1
libgtk2.0-bin	2.24.33-4ubuntu1.1
libgtk2.0-common	2.24.33-4ubuntu1.1
libgts-0.7-5t64:amd64	0.7.6+darcs121130-5.2build1
libgts-bin	0.7.6+darcs121130-5.2build1
libgvc6	2.42.2-9ubuntu0.1
libgvc6-plugins-gtk	2.42.2-9ubuntu0.1
libgvpr2:amd64	2.42.2-9ubuntu0.1
libharfbuzz0b:amd64	8.3.0-2build2
libheif-plugin-aomdec:amd64	1.17.6-1ubuntu4.1
libheif-plugin-aomenc:amd64	1.17.6-1ubuntu4.1
libheif-plugin-libde265:amd64	1.17.6-1ubuntu4.1
libheif1:amd64	1.17.6-1ubuntu4.1
libhogweed6t64:amd64	3.9.1-2.2build1.1
libhsa-runtime64-1	5.7.1-2build1
libhsakmt1:amd64	5.7.0-1build1
libhwasan0:amd64	14.2.0-4ubuntu2~24.04
libhwloc-dev:amd64	2.10.0-1build1
libhwloc-plugins:amd64	2.10.0-1build1
libhwloc15:amd64	2.10.0-1build1
libibverbs-dev:amd64	50.0-2ubuntu0.2
libibverbs1:amd64	50.0-2ubuntu0.2
libice-dev:amd64	2:1.0.10-1build3
libice6:amd64	2:1.0.10-1build3
libicu-dev:amd64	74.2-1ubuntu3.1
libicu74:amd64	74.2-1ubuntu3.1
libidn2-0:amd64	2.3.7-2build1
libisl23:amd64	0.26-3build1
libitm1:amd64	14.2.0-4ubuntu2~24.04
libjansson4:amd64	2.14-2build2
libjbig-dev:amd64	2.1-6.1ubuntu2
libjbig0:amd64	2.1-6.1ubuntu2
libjpeg-dev:amd64	8c-2ubuntu11
libjpeg-turbo8:amd64	2.1.5-2ubuntu2
libjpeg-turbo8-dev:amd64	2.1.5-2ubuntu2
libjpeg8:amd64	8c-2ubuntu11
libjpeg8-dev:amd64	8c-2ubuntu11
libjs-jquery	3.6.1+dfsg+~3.5.14-1
libjs-jquery-ui	1.13.2+dfsg-1
libjs-sphinxdoc	7.2.6-6
libjs-underscore	1.13.4~dfsg+~1.11.4-3
libjson-c5:amd64	0.17-1build1
libjsoncpp25:amd64	1.9.5-6build1
libk5crypto3:amd64	1.20.1-6ubuntu2.2
libkeyutils1:amd64	1.6.3-3build1
libkrb5-3:amd64	1.20.1-6ubuntu2.2
libkrb5support0:amd64	1.20.1-6ubuntu2.2
libksba8:amd64	1.6.6-1build1
liblab-gamut1:amd64	2.42.2-9ubuntu0.1
liblapack3:amd64	3.12.0-3build1.1
libldap-common	2.6.7+dfsg-1~exp1ubuntu8.1
libldap2:amd64	2.6.7+dfsg-1~exp1ubuntu8.1
liblerc-dev:amd64	4.0.0+ds-4ubuntu2
liblerc4:amd64	4.0.0+ds-4ubuntu2
libllvm17t64:amd64	1:17.0.6-9ubuntu1
liblocale-gettext-perl	1.07-6ubuntu5
liblsan0:amd64	14.2.0-4ubuntu2~24.04
libltdl-dev:amd64	2.4.7-7build1
libltdl7:amd64	2.4.7-7build1
liblz4-1:amd64	1.9.4-1build1.1
liblz4-dev:amd64	1.9.4-1build1.1
liblzma-dev:amd64	5.6.1+really5.4.5-1ubuntu0.3
liblzma5:amd64	5.6.1+really5.4.5-1ubuntu0.3
liblzo2-2:amd64	2.10-2build4
libmagic-mgc	1:5.45-3build1
libmagic1t64:amd64	1:5.45-3build1
libmd0:amd64	1.1.0-2build1
libmount-dev:amd64	2.39.3-9ubuntu6.1
libmount1:amd64	2.39.3-9ubuntu6.1
libmpc3:amd64	1.3.1-1build1
libmpfr6:amd64	4.2.1-1build1
libmunge2:amd64	0.5.15-4ubuntu0.1
libmysqlclient-dev	8.0.40-0ubuntu0.24.04.1
libmysqlclient21:amd64	8.0.40-0ubuntu0.24.04.1
libncursesw6:amd64	6.4+20240113-1ubuntu2
libnettle8t64:amd64	3.9.1-2.2build1.1
libnghttp2-14:amd64	1.59.0-1ubuntu0.1
libnl-3-200:amd64	3.7.0-0.3build1.1
libnl-3-dev:amd64	3.7.0-0.3build1.1
libnl-route-3-200:amd64	3.7.0-0.3build1.1
libnl-route-3-dev:amd64	3.7.0-0.3build1.1
libnpth0t64:amd64	1.6-3.1build1
libnuma-dev:amd64	2.0.18-1ubuntu0.24.04.1
libnuma1:amd64	2.0.18-1ubuntu0.24.04.1
libodbc2:amd64	2.3.12-1ubuntu0.24.04.1
libodbccr2:amd64	2.3.12-1ubuntu0.24.04.1
libodbcinst2:amd64	2.3.12-1ubuntu0.24.04.1
libopengl-dev:amd64	1.7.0-1build1
libopengl0:amd64	1.7.0-1build1
libopenmpi-dev:amd64	4.1.6-7ubuntu2
libopenmpi3t64:amd64	4.1.6-7ubuntu2
libp11-kit0:amd64	0.25.3-4ubuntu2.1
libpam-modules:amd64	1.5.3-5ubuntu5.1
libpam-modules-bin	1.5.3-5ubuntu5.1
libpam-runtime	1.5.3-5ubuntu5.1
libpam0g:amd64	1.5.3-5ubuntu5.1
libpango-1.0-0:amd64	1.52.1+ds-1build1
libpangocairo-1.0-0:amd64	1.52.1+ds-1build1
libpangoft2-1.0-0:amd64	1.52.1+ds-1build1
libpathplan4:amd64	2.42.2-9ubuntu0.1
libpciaccess0:amd64	0.17-3build1
libpcre16-3:amd64	2:8.39-15build1
libpcre2-16-0:amd64	10.42-4ubuntu2
libpcre2-32-0:amd64	10.42-4ubuntu2
libpcre2-8-0:amd64	10.42-4ubuntu2
libpcre2-dev:amd64	10.42-4ubuntu2
libpcre2-posix3:amd64	10.42-4ubuntu2
libpcre3:amd64	2:8.39-15build1
libpcre3-dev:amd64	2:8.39-15build1
libpcre32-3:amd64	2:8.39-15build1
libpcrecpp0v5:amd64	2:8.39-15build1
libperl5.38t64:amd64	5.38.2-3.2build2
libpixman-1-0:amd64	0.42.2-1build1
libpixman-1-dev:amd64	0.42.2-1build1
libpkgconf3:amd64	1.8.1-2build1
libpmix-dev:amd64	5.0.1-4.1build1
libpmix2t64:amd64	5.0.1-4.1build1
libpng-dev:amd64	1.6.43-5build1
libpng-tools	1.6.43-5build1
libpng16-16t64:amd64	1.6.43-5build1
libpopt0:amd64	1.19+dfsg-1build1
libpq-dev	16.6-0ubuntu0.24.04.1
libpq5:amd64	16.6-0ubuntu0.24.04.1
libproc2-0:amd64	2:4.0.4-4ubuntu3.2
libprotobuf-dev:amd64	3.21.12-8.2build1
libprotobuf-lite32t64:amd64	3.21.12-8.2build1
libprotobuf32t64:amd64	3.21.12-8.2build1
libprotoc32t64:amd64	3.21.12-8.2build1
libpsl5t64:amd64	0.21.2-1.1build1
libpsm-infinipath1	3.3+20.604758e7-6.3build1
libpsm2-2	11.2.185-2build1
libpthread-stubs0-dev:amd64	0.4-1build3
libpugixml1v5:amd64	1.14-0.1build1
libpython3-dev:amd64	3.12.3-0ubuntu2.1
libpython3-stdlib:amd64	3.12.3-0ubuntu2.1
libpython3.12-dev:amd64	3.12.3-1ubuntu0.16
libpython3.12-minimal:amd64	3.12.3-1ubuntu0.16
libpython3.12-stdlib:amd64	3.12.3-1ubuntu0.16
libpython3.12t64:amd64	3.12.3-1ubuntu0.16
libquadmath0:amd64	14.2.0-4ubuntu2~24.04
librdmacm1t64:amd64	50.0-2ubuntu0.2
libreadline8t64:amd64	8.2-4build1
librhash0:amd64	1.4.3-3build1
librsvg2-2:amd64	2.58.0+dfsg-1build1
librsvg2-common:amd64	2.58.0+dfsg-1build1
librsvg2-dev:amd64	2.58.0+dfsg-1build1
librtmp1:amd64	2.4+20151223.gitfa8646d.1-2build7
libsasl2-2:amd64	2.1.28+dfsg1-5ubuntu3.1
